"Path","Bytes","SHA256"
"data_pipeline/build_deck_identity_cache.py","7972","3619dd70d6e7534444afa6777fc03e7e65647fcfdf2b8051be969c1160a4baaa"
"data_pipeline/build_expert_v1_from_zips.py","15689","7792bbbb396e89e9d538732c495797833310370e70311ec9502c6f272d9d5c73"
"data_pipeline/build_opponent_deck_class_map.py","5518","e1fc03ca8e3c92f10abbbb497bdfecd78404b53fed633ff3ddf6477988e882df"
"data_pipeline/build_sequence_cache.py","4100","66c10fd4ae48dda03bb989ceb3932b2a5db60ad11f2e6e901622c6576e214c0e"
"data_pipeline/build_token_cache.py","6678","db0e898fa91188365d5debf11fd9b773e38ad820892aa87a8de9dd7443b7743b"
"data_pipeline/deck_identity_decks.json","315","00e05c09ecde18c15ddb5c43a8105542bb5af77b5314fd8bf3038d751ff55ddf"
"data_pipeline/features.py","17712","7f83efbb66d284203fe75388b97b96a354ec992c3b01315aceb807fd4b4b6fb1"
"data_pipeline/tokenizer.py","11145","fb3cb027997dbffa7efd6832916c6d4be7f0daffd8de1e58785acd786091096f"
"docs/EXPERIMENT7_CLEANROOM_DESIGN.md","15608","9d632515eb98b5a818a44f7dfe631b22710303e923a65ac1cd4abdf8a64040d4"
"docs/TRANSFORMER_8_EXPERIMENT_FINAL_AUDIT.md","3528","0635995e91dfa747ebe489282bfb884d5be5d218411203df2978448ad0457c06"
"docs/VALIDATION_POOL_PROTOCOL.md","1720","a274fcc3d64fef983c7de07c5d5ecfb09731c730a644b9f63c19f9348e20e331"
"PACKAGE_README.md","1958","f656dcb6a547d2b9d5cefaaab01ca5a807f10fa143324f20ff88814edbe963ae"
"requirements.txt","13","f88e37d3ec51c961a1cd16934f56110aa8452038052231cf92b695c59440aa08"
"results/experiment7_summary.json","1539","fae8f90908d68eace1418a220206d674cbe5212517acabe122e556e4f53d5cca"
"REVIEW_PROMPT.md","1604","0ec64c089ad3afec7103c723ced73d5655aa3dff1b7d143b17f906def6f0a8a4"
"runtime_agent/deck_identity_portable.py","9284","bda5935b98fac33e277ba589572bd3c4d0736a1672ccfe319edaa8b59c981738"
"runtime_agent/deck.csv","252","92b92bac9f9163ecff933b3dc39294d2cc154c8684f3c8497877661419ebc59d"
"runtime_agent/features.py","17712","7f83efbb66d284203fe75388b97b96a354ec992c3b01315aceb807fd4b4b6fb1"
"runtime_agent/main.py","5356","62f3ed6df7c96a0ea41410393bcadf5b4f0d0747b52bbbe706579b9da7c4612d"
"runtime_agent/portable.py","6624","e180cf555322d78789ba62c4e8c26baa7172b9cc1dc24968766a596ce5a59fd1"
"runtime_agent/tokenizer.py","11145","fb3cb027997dbffa7efd6832916c6d4be7f0daffd8de1e58785acd786091096f"
"training/__init__.py","67","a49011077f4c002da63accdbb8ef58b59933cb0a719053a5c306ae2cd33ead36"
"training/deck_identity_model.py","6049","3011ba6941fca8565c95fdca0f3130e85d5686561d43c3b049489547ad6d6538"
"training/deck_identity_portable.py","9284","bda5935b98fac33e277ba589572bd3c4d0736a1672ccfe319edaa8b59c981738"
"training/deck_knowledge_model.py","5280","c1de55c89d23a3307a54f211af01a7118452f3d6901141e47c00908c8626091b"
"training/evaluate_multideck_identity.py","4895","41970b1918b13d358b35cb4214cc1f77cf52151ff6395ed06dc26dad90334f81"
"training/model.py","5253","5644a9b6f6a7eed31c418f70e066099158c33f3f075a798d36605e355e6f5d0b"
"training/portable.py","6624","e180cf555322d78789ba62c4e8c26baa7172b9cc1dc24968766a596ce5a59fd1"
"training/public_event_model.py","7572","a1320cc801b719092e1ee722d5c2c64c59d4fead88f953db815ac6bef7215b1a"
"training/sequence_model.py","4799","728d61536649f900c33ceab0ac22bddeb2045a4431faaae70a63b67bbc535679"
"training/train_multideck_identity.py","30523","8c33dfcff850f11b447f2d68ed97289bce84f6bbcddee061c526d6941b0df3f5"
"training/train_sequence.py","24162","8c0bd3441ea05c654809d90b49c358358170d3a95e7de3d04eb676af86786ac1"
"training/train.py","21715","25bad50778881116ea92334bf002408603c996b6cf835c302ef39be1e1d3b405"
"training/verify_deck_identity_portable.py","5801","07c205e5a3d86433c909bd89471226f8ba8c065effa1a58db608d0ea89bc17d7"
"validation/arena_isolated.py","11453","70cf1e70d8f5da6d15339d666d3a2d1665f08260822b69b7cc76b42653daa3e6"
"validation/assess_validation_candidate.py","3426","04386170cdd4bab82a362fb42273eb3777a50eb34be3ec360b03c837c6124e4f"
"validation/summarize_validation_matrix.py","5085","9ea3a66ee47b8ec58760c83be4622df8290bca7deb598732bfc8f07925170f9b"
"validation/verify_transformer_8_experiment_goal.py","12644","34637a3dd8807d45fc5cfa382a6e7c955a5008dda0f3adb34eeb2220f06835af"
