learner,opponent,seed,learner_seat,result,winner_seat,decisions,latency_ms,memory_mb,failure,engine_seed_controlled,diagnostics_json
learner_08,roman_recent_885,28380719,0,win,0,204,6784.194,,,False,"[{},{}]"
learner_05,grim_hybrid_909,25360719,1,loss,0,176,1120.932,,,False,"[{},{}]"
learner_06,lucario_sample,26320719,0,loss,1,137,319.886,,,False,"[{},{}]"
learner_03,lucario_sample,23320719,0,loss,1,150,436.937,,,False,"[{},{}]"
learner_02,official_random,22260719,1,loss,0,164,388.089,,,False,"[{},{}]"
learner_05,simple_matchup,25370719,1,win,1,145,310.694,,,False,"[{},{}]"
learner_03,official_random,23260719,1,win,1,25,594.237,,,False,"[{},{}]"
learner_09,archaludon,29280719,1,loss,0,114,359.67,,,False,"[{},{}]"
learner_07,simple_matchup,27370719,0,win,0,25,300.304,,,False,"[{},{}]"
learner_07,grim_hybrid_909,27360719,1,win,1,115,1048.452,,,False,"[{},{}]"
learner_06,iono,26310719,0,win,0,182,487.23,,,False,"[{},{}]"
learner_02,archaludon,22280719,1,win,1,107,299.318,,,False,"[{},{}]"
learner_09,alakazam_5th,29270719,0,loss,1,140,316.013,,,False,"[{},{}]"
learner_02,archaludon,22280719,0,win,0,121,336.28,,,False,"[{},{}]"
learner_00,official_random,20260719,1,win,1,27,240.366,,,False,"[{},{}]"
learner_06,grim_hybrid_909,26360719,0,win,0,160,741.87,,,False,"[{},{}]"
learner_07,dragapult,27300719,0,loss,1,118,293.602,,,False,"[{},{}]"
learner_02,alakazam_5th,22270719,1,win,1,93,290.991,,,False,"[{},{}]"
learner_01,lucario_sample,21320719,0,loss,1,148,342.366,,,False,"[{},{}]"
learner_03,library_out_1208,23290719,0,loss,1,305,411.906,,,False,"[{},{}]"
learner_07,archaludon,27280719,0,loss,1,131,306.415,,,False,"[{},{}]"
learner_05,library_out_1208,25290719,0,loss,1,99,311.464,,,False,"[{},{}]"
learner_03,library_out_1208,23290719,1,win,1,158,323.637,,,False,"[{},{}]"
learner_03,dragapult,23300719,1,win,1,146,297.034,,,False,"[{},{}]"
learner_07,archaludon,27280719,1,loss,0,119,376.087,,,False,"[{},{}]"
learner_09,beam_search_940,29350719,1,loss,0,162,742.219,,,False,"[{},{}]"
learner_07,iono,27310719,0,loss,1,223,550.312,,,False,"[{},{}]"
learner_08,roman_recent_885,28380719,1,win,1,89,1231.566,,,False,"[{},{}]"
learner_05,dragapult,25300719,1,loss,0,163,400.479,,,False,"[{},{}]"
learner_00,grim_hybrid_909,20360719,0,loss,1,226,856.821,,,False,"[{},{}]"
learner_01,official_random,21260719,1,win,1,29,237.034,,,False,"[{},{}]"
learner_05,alakazam_5th,25270719,0,win,0,142,325.549,,,False,"[{},{}]"
learner_01,lucario_1084,21330719,1,win,1,127,334.461,,,False,"[{},{}]"
learner_00,lucario_sample,20320719,0,loss,1,117,301.672,,,False,"[{},{}]"
learner_03,simple_matchup,23370719,0,win,0,87,304.275,,,False,"[{},{}]"
learner_05,beam_search_940,25350719,1,loss,0,117,403.623,,,False,"[{},{}]"
learner_07,lucario_1084,27330719,1,loss,0,142,468.19,,,False,"[{},{}]"
learner_06,lucario_1084,26330719,1,win,1,146,499.778,,,False,"[{},{}]"
learner_00,beam_search_940,20350719,1,win,1,87,312.432,,,False,"[{},{}]"
learner_08,dragapult,28300719,0,win,0,167,663.048,,,False,"[{},{}]"
learner_01,alakazam_5th,21270719,1,win,1,126,363.427,,,False,"[{},{}]"
learner_00,library_out_1208,20290719,1,loss,0,118,324.402,,,False,"[{},{}]"
learner_06,dragapult,26300719,0,win,0,150,413.399,,,False,"[{},{}]"
learner_02,library_out_1208,22290719,1,win,1,114,312.984,,,False,"[{},{}]"
learner_03,archaludon,23280719,1,loss,0,151,563.658,,,False,"[{},{}]"
learner_02,beam_search_940,22350719,0,win,0,102,375.708,,,False,"[{},{}]"
learner_02,official_random,22260719,0,loss,1,120,264.303,,,False,"[{},{}]"
